Date;Sommeil (h);Fatigue;Energie;Pauses;Bien-être;Score d'optimisation;Tâches
11/08/2025;8;2;50;0;53;65;App (1h) | Recherche (2h) | Veille (3h) | Prep Rdv (2h)
12/08/2025;7;4;50;0;45;5;Recherche (3h) | Admin (2h) | Veille (3h)
13/08/2025;8;4;50;1;50;30;App (2h) | Veille (2h) | Prep Rdv (1h) | Recherche (3h)
14/08/2025;0;5;50;1;20;77;App (1h) | Recherche (5h) | Prep rdv (0.5h)
18/08/2025;8.5;3;50;1;55;45;Veille (3h) | Prep forma (1.5h) | Recherche (2.5h) | App (1.5h)
19/08/2025;8;3;50;0;53;100;Prep forma (3h) | Networking (6h) | Transport (1.5h)
20/08/2025;7.5;3;50;1;64;27;Rdv (1h) | Mails (1.5h) | Prep rdv (2h) | Transport (1.5h)
22/08/2025;7.5;4;50;0;51;100;Rdv (2.5h) | prep froma (6h)
25/08/2025;8.5;5;50;0;43;44;Recherche (2.5h) | Partenariat (0.5h) | mails (1h) | Admin (0.5h) | prep forma (3.5h)
26/08/2025;8;5;50;1;45;82;admin (1h) | forma (4.5h) | Transport (1.5h)
27/08/2025;7.25;4;50;0;50;52;prep forma (0.5h) | app (3h) | rdv (1.5h) | Admin (2h)
28/08/2025;7.5;4;50;1;59;45;rdv (0.5h) | partenariat (4h) | App (2h) | Networking (4h)
29/08/2025;8.5;3;50;1;55;41;Admin (3.5h) | rdv (1h) | prep forma (2h)
01/09/2025;6.5;3;50;0;58;83;partenariat (4.5h) | app (1h) | Mails (1h) | Admin (1h)
02/09/2025;8.5;3;50;0;63;67;Transport (2.5h) | rdv perso (1h) | Networking (4h)
03/09/2025;0;3;50;1;25;74;Rdv (2h) | prep forma (7h) | Networking (1h) | admin (1h)
04/09/2025;8;4;50;1;60;99;prep forma (6h) | rdv (2.5h) | mails (0.5h)
05/09/2025;0;5;50;0;13;11;Admin (1h) | prep forma (7h) | rdv (1h) | mails (0.5h)
08/09/2025;8;5;50;0;48;96;prep forma (11h)
09/09/2025;7;4;50;0;45;84;forma  (7.5h) | Transport (2h)
10/09/2025;8;4;50;1;60;77;mails (2h) | rdv (0.5h) | prep forma (5h) | App (1.5h)
11/09/2025;6;4;50;0;46;80;Strategic (4.5h) | mails (2h) | App (1.5h)
12/09/2025;7.5;5;50;1;39;0;
